TIPO N.U,NOMBRE N.U
ASENTAMIENTO HUMANO,AMPLIACION LAS COLINAS
ASENTAMIENTO HUMANO,AMPLIACION VIRGEN DEL ROSARIO
ASENTAMIENTO HUMANO,SEÑOR DE LOS MILAGROS
AGRUPAMIENTO POBLACIONAL,LOS PORTALES DE MI PERU
ASENTAMIENTO HUMANO,15 DE JULIO
AGRUPAMIENTO POBLACIONAL,AIDA GARCIA DE SOTOMAYOR
ASENTAMIENTO HUMANO,PERU 2000
ASENTAMIENTO HUMANO,AMPLIACION M2 - A
AGRUPAMIENTO POBLACIONAL,NUESTRA SEÑORA DE LA ESPERANZA
ASENTAMIENTO HUMANO,LOS JAZMINES DE MI PERU
ASENTAMIENTO HUMANO,SAGRADO CORAZON DE JESUS
ASENTAMIENTO HUMANO,LOS JARDINES DE MI PERU
ASENTAMIENTO HUMANO,REYNALDO ENCALADA TOVAR
ASENTAMIENTO HUMANO,LAS CASUARINAS DE GUADALUPE
ASENTAMIENTO HUMANO,OMAR MARCOS
ASENTAMIENTO HUMANO,VILLA EMILIA
ASENTAMIENTO HUMANO,CHAVINILLO
ASENTAMIENTO HUMANO,EL PARAISO
ASENTAMIENTO HUMANO,LOS GIRASOLES
ASENTAMIENTO HUMANO,AMPLIACION HIJOS DE VILLA DEL MAR
ASENTAMIENTO HUMANO,VISTA ALEGRE
ASENTAMIENTO HUMANO,VILLA DEL MAR
ASENTAMIENTO HUMANO,13 DE NOVIEMBRE
AGRUPAMIENTO POBLACIONAL,SUPER MANZANA
ASENTAMIENTO HUMANO,DANIEL ALCIDES CARRION
ASENTAMIENTO HUMANO,SANTA ROSA DE MI PERU
ASENTAMIENTO HUMANO,SEÑOR DE LUREN
ASENTAMIENTO HUMANO,LAS COLINAS
ASENTAMIENTO HUMANO,VIRGEN DE GUADALUPE
ASENTAMIENTO HUMANO,VILLA ESCUDERO
ASENTAMIENTO HUMANO,SEÑOR DEL MAR
ASENTAMIENTO HUMANO,JESUS NAZARENO - EL ARENAL
ASENTAMIENTO HUMANO,JUAN SOTOMAYOR
AGRUPAMIENTO POBLACIONAL,14 DE MARZO
AGRUPAMIENTO POBLACIONAL,AMPLIACION 15 DE JULIO
ASENTAMIENTO HUMANO,ISRAEL ES EL MAESTRO
ASENTAMIENTO HUMANO,7 DE JUNIO
ASENTAMIENTO HUMANO,CONFRATERNIDAD
AGRUPAMIENTO POBLACIONAL,3 DE FEBRERO
ASENTAMIENTO HUMANO,HIJOS DE MI PERU
AGRUPAMIENTO POBLACIONAL,6 DE OCTUBRE
ASENTAMIENTO HUMANO,VISTA AL MAR
ASENTAMIENTO HUMANO,VIRGEN DEL ROSARIO
ASENTAMIENTO HUMANO,MONTE SINAI
SECTOR,SECTOR A
SECTOR,SECTOR B
SECTOR,SECTOR C
SECTOR,SECTOR D
SECTOR,SECTOR E
SECTOR,SECTOR F
SECTOR,SECTOR G
SECTOR,SECTOR H
SECTOR,SECTOR I
SECTOR,SECTOR J
SECTOR,SECTOR K
SECTOR,SECTOR M
SECTOR,SECTOR N
