TIPO N.U,NOMBRE N.U
ASENTAMIENTO HUMANO,1 de Mayo - Los Jardines
ASENTAMIENTO HUMANO,1° Mayo - Villamoto
ASOCIACION,22 de Octubre
ASENTAMIENTO HUMANO,24 de Agosto
ASENTAMIENTO HUMANO,6 de Agosto - Tahuantinsuyo
ASOCIACION,8 de Octubre
ASENTAMIENTO HUMANO,Alberto Fujimori Fujimori
ASOCIACION,Ampliacion Francisco Tudela
ASENTAMIENTO HUMANO,Ampliacion Las Flores
ASENTAMIENTO HUMANO,Ampliación Las Terrazas
ASENTAMIENTO HUMANO,Ampliación Moises Woll
ASENTAMIENTO HUMANO,Ampliación Ricardo Durand Flores
ASENTAMIENTO HUMANO,Ampliación Satelite N° 01
ASENTAMIENTO HUMANO,Cesar Vallejo
ASOCIACION,Chim Pum Callao
ASOCIACION,Descendientes de Ventanilla Alta
ASENTAMIENTO HUMANO,El Progreso
UBANIZACION,Ex zona comercial
ASENTAMIENTO HUMANO,Felix Moreno Caballero
ASENTAMIENTO HUMANO,Francisco Tudela
ASOCIACION,Hijos de las Flores
ASOCIACION,Hijos de las Terrazas
ASENTAMIENTO HUMANO,Hijos de Ventanilla
ASENTAMIENTO HUMANO,Jose Carlos Mariategui
ASENTAMIENTO HUMANO,Jose Gabriel Condorcanqui
UBANIZACION,La Bandera
ASENTAMIENTO HUMANO,Las Amazonas
ASOCIACION,Las Brisas de Ventanilla
ASOCIACION,Las Flores de Valle Hermoso
ASENTAMIENTO HUMANO,Las Lomas de Ventanilla Alta
ASOCIACION,Las Palmeras de Ventanilla Alta (ex madres unidas)
ASENTAMIENTO HUMANO,Las Terrazas
ASENTAMIENTO HUMANO,Los Pinos
ASOCIACION,Los Portales
ASOCIACION,Los Triunfadores de Ventanilla Alta
ASENTAMIENTO HUMANO,Maria Jose Cordova de Marcos
ASOCIACION,Marielita Primo
ASENTAMIENTO HUMANO,Mirador de los Humedales de Ventanilla
ASENTAMIENTO HUMANO,Moises Woll
ASOCIACION,Omar Alfredo Marcos Artega
ASOCIACION,Pobladores de Ventanilla Alta 
ASOCIACION,Pobladores de Ventanilla Alta Zona B III Sector
ASENTAMIENTO HUMANO,Programa de Vivienda Desarrollo 2000
ASENTAMIENTO HUMANO,Residencial Santisima Cruz de Motupe
ASOCIACION,Residencial Santisima Cruz de Motupe Sector II
ASENTAMIENTO HUMANO,Ricardo Durand Flores
ASOCIACION,Santa Rosa de Lima
UBANIZACION,Satelite
ASENTAMIENTO HUMANO,Señor de la Justicia
ASENTAMIENTO HUMANO,Señor de la Justicia
ASENTAMIENTO HUMANO,Virgen de Fatima
ASENTAMIENTO HUMANO,12 de Octubre
ASENTAMIENTO HUMANO,Ampliación Sagrado Corazón
ASENTAMIENTO HUMANO,Corazon de Jesus
ASENTAMIENTO HUMANO,El Golfo de Ventanilla
ASENTAMIENTO HUMANO,Felix Moreno Caballero II
ASENTAMIENTO HUMANO,Hijos de Villa los Reyes
ASENTAMIENTO HUMANO,Keiko Sofia Fujimori I Etapa
ASENTAMIENTO HUMANO,La Paz del Km 37.5
ASENTAMIENTO HUMANO,Las Lomas Km 39
ASENTAMIENTO HUMANO,Los Angeles
ASENTAMIENTO HUMANO,Los Cedros - I Etapa
ASENTAMIENTO HUMANO,Los Laureles
ASENTAMIENTO HUMANO,Luis Felipe de las Casas  
ASENTAMIENTO HUMANO,Luis Felipe de las Casas II Etapa
ASENTAMIENTO HUMANO,Monte Sion
ASENTAMIENTO HUMANO,Nueva Generación
ASENTAMIENTO HUMANO,Nuevo Progreso
ASENTAMIENTO HUMANO,San Pablo
ASENTAMIENTO HUMANO,San Pedro
ASOCIACION,Santa Margarita
ASENTAMIENTO HUMANO,Villa Los Reyes
ASOCIACION,Los Constructores de Pachacutec
ASENTAMIENTO HUMANO,20 de Agosto
ASENTAMIENTO HUMANO,6 de Diciembre
ASOCIACION,Alan Garcia Perez
ASENTAMIENTO HUMANO,AVIMAPA
ASENTAMIENTO HUMANO,Balnearios
ASENTAMIENTO HUMANO,Brisas II
ASENTAMIENTO HUMANO,Carlos Garcia Ronceros
ASENTAMIENTO HUMANO,Construcción Civil
ASENTAMIENTO HUMANO,Cosmovision
ASENTAMIENTO HUMANO,Costa Azul
ASOCIACION,Familias Unidas 4 de Setiembre
ASENTAMIENTO HUMANO,Inca Garcilazo de la Vega
ASENTAMIENTO HUMANO,Inca Pachacutec
ASENTAMIENTO HUMANO,Inca Wasi
